Category;Subcategory;Subcategory+2;Subcategory+3;Subcategory+4;Subcategory+5;Subcategory+6;Subcategory+7;Subcategory+8
Clothing+Shoes++Jewelry;Novelty++More;;;;;;;
Clothing+Shoes++Jewelry;Shoe+Jewelry++Watch+Accessories;;;;;;;
Clothing+Shoes++Jewelry;Sport+Specific+Clothing;;;;;;;
Clothing+Shoes++Jewelry;Uniforms+Work++Safety;;;;;;;
Clothing+Shoes++Jewelry;Womens+Fashion;;;;;;;
Electronics;Audio+Headphones;;;;;;;
Electronics;Camera++Photo;;;;;;;
Electronics;Cell+Phones++Accessories;;;;;;;
Electronics;Computers++Accessories;;;;;;;
Electronics;eBook+Readers++Accessories;;;;;;;
Electronics;Electronics+Accessories++Supplies;;;;;;;
Electronics;GPS+Finders++Accessories;;;;;;;
Electronics;Headphones+Earbuds++Accessories;;;;;;;
Electronics;Home+Audio++Theater+Products;;;;;;;
Electronics;Household+Batteries+Chargers++Accessories;;;;;;;
Electronics;Portable+Audio++Video;;;;;;;
Electronics;Power+Accessories;;;;;;;
Electronics;Security++Surveillance+Equipment;;;;;;;
Electronics;Televisions++Video+Products;;;;;;;
Electronics;Vehicle+Electronics;;;;;;;
Electronics;Video+Game+Consoles++Accessories;;;;;;;
Electronics;Video+Projectors;;;;;;;
Electronics;Wearable+Technology;;;;;;;
Grocery++Gourmet+Food;Alcoholic+Beverages;;;;;;;
Grocery++Gourmet+Food;Beverages;;;;;;;
Grocery++Gourmet+Food;Breads++Bakery;;;;;;;
Grocery++Gourmet+Food;Breakfast+Foods;;;;;;;
Grocery++Gourmet+Food;Candy++Chocolate;;;;;;;
Grocery++Gourmet+Food;Dairy+Cheese++Eggs;;;;;;;
Grocery++Gourmet+Food;Deli++Prepared+Foods;;;;;;;
Grocery++Gourmet+Food;Deli+Foods;;;;;;;
Grocery++Gourmet+Food;Dried+Beans+Grains++Rice;;;;;;;
Grocery++Gourmet+Food;Food++Beverage+Gifts;;;;;;;
Grocery++Gourmet+Food;Fresh+Flowers++Live+Indoor+Plants;;;;;;;
Grocery++Gourmet+Food;Fresh+Meal+Ingredient+Kits;;;;;;;
Grocery++Gourmet+Food;Fresh+Produce;;;;;;;
Grocery++Gourmet+Food;Frozen+Foods;;;;;;;
Grocery++Gourmet+Food;Home+Brewing++Winemaking;;;;;;;
Grocery++Gourmet+Food;Meat++Seafood;;;;;;;
Grocery++Gourmet+Food;Meat+Substitutes;;;;;;;
Grocery++Gourmet+Food;Pantry+Staples;;;;;;;
Grocery++Gourmet+Food;Snack+Foods;;;;;;;
Grocery++Gourmet+Food;Snacks++Sweets;;;;;;;
Health++Household;Baby++Child+Care+Products;;;;;;;
Health++Household;Health+Care+Products;;;;;;;
Health++Household;Home+Use+Medical+Supplies++Equipment;;;;;;;
Health++Household;Household+Supplies;;;;;;;
Health++Household;Sexual+Wellness+Products;;;;;;;
Health++Household;Sports+Nutrition+Products;;;;;;;
Health++Household;Stationery++Gift+Wrapping+Supplies;;;;;;;
Health++Household;Vision+Products;;;;;;;
Health++Household;Vitamins++Dietary+Supplements;;;;;;;
Health++Household;Vitamins+Minerals++Supplements;;;;;;;
Health++Household;Wellness++Relaxation+Products;;;;;;;
Home++Kitchen;Artwork;;;;;;;
Home++Kitchen;Bath+Products;;;;;;;
Home++Kitchen;Bedding;;;;;;;
Home++Kitchen;Event++Party+Supplies;;;;;;;
Home++Kitchen;Furniture;;;;;;;
Home++Kitchen;Heating+Cooling++Air+Quality;;;;;;;
Home++Kitchen;Home+Dcor+Products;;;;;;;
Home++Kitchen;Home+Storage++Organization;;;;;;;
Home++Kitchen;Household+Cleaning+Supplies;;;;;;;
Home++Kitchen;Ironing+Products;;;;;;;
Home++Kitchen;Kids+Home+Store;;;;;;;
Home++Kitchen;Kitchen++Dining;;;;;;;
Home++Kitchen;Seasonal+Dcor;;;;;;;
Home++Kitchen;Vacuum+Cleaners++Floor+Care;;;;;;;
Industrial++Scientific;Abrasive++Finishing+Products;;;;;;;
Industrial++Scientific;Additive+Manufacturing+Products;;;;;;;
Industrial++Scientific;Commercial+Door+Products;;;;;;;
Industrial++Scientific;Cutting+Tools;;;;;;;
Industrial++Scientific;Digital+Signage+Equipment;;;;;;;
Industrial++Scientific;Electronic+Components;;;;;;;
Industrial++Scientific;Fasteners;;;;;;;
Industrial++Scientific;Filtration;;;;;;;
Industrial++Scientific;Food+Service+Equipment++Supplies;;;;;;;
Industrial++Scientific;Hydraulics+Pneumatics++Plumbing;;;;;;;
Industrial++Scientific;Industrial+Adhesives+Sealants++Lubricants;;;;;;;
Industrial++Scientific;Industrial+Hardware;;;;;;;
Industrial++Scientific;Industrial+Materials;;;;;;;
Industrial++Scientific;Industrial+Power++Hand+Tools;;;;;;;
Industrial++Scientific;Janitorial++Sanitation+Supplies;;;;;;;
Industrial++Scientific;Lab++Scientific+Products;;;;;;;
Industrial++Scientific;Material+Handling+Products;;;;;;;
Industrial++Scientific;Occupational+Health++Safety+Products;;;;;;;
Industrial++Scientific;Packaging++Shipping+Supplies;;;;;;;
Industrial++Scientific;Power+Transmission+Products;;;;;;;
Industrial++Scientific;Professional+Dental+Supplies;;;;;;;
Industrial++Scientific;Professional+Medical+Supplies;;;;;;;
Industrial++Scientific;Retail+Store+Fixtures++Equipment;;;;;;;
Industrial++Scientific;Robotics;;;;;;;
Industrial++Scientific;Science+Education+Supplies;;;;;;;
Industrial++Scientific;Test+Measure++Inspect;;;;;;;
Movies++TV;Movies++Films;;;;;;;
Movies++TV;Specialty+Stores;;;;;;;
Movies++TV;TV+Shows;;;;;;;
Musical+Instruments;Band++Orchestra+Musical+Instruments;;;;;;;
Musical+Instruments;Bass+Guitars;;;;;;;
Musical+Instruments;Drums++Percussion;;;;;;;
Musical+Instruments;Electronic+Music+DJ++Karaoke;;;;;;;
Musical+Instruments;Guitars;;;;;;;
Musical+Instruments;Music+Recording+Equipment;;;;;;;
Musical+Instruments;Musical+Instrument+Accessories;;;;;;;
Musical+Instruments;Musical+Instrument+Amplifiers++Effects;;;;;;;
Musical+Instruments;Musical+Instrument+Keyboards++MIDI;;;;;;;
Musical+Instruments;Recording+Microphones++Accessories;;;;;;;
Musical+Instruments;Stage++Sound+Equipment;;;;;;;
Musical+Instruments;Stringed+Musical+Instruments;;;;;;;
Musical+Instruments;Ukuleles+Mandolins++Banjos;;;;;;;
Musical+Instruments;Wind++Woodwind+Musical+Instruments;;;;;;;
Office+Products;Office++School+Supplies;;;;;;;
Office+Products;Office+Electronics+Products;;;;;;;
Office+Products;Office+Furniture++Lighting;;;;;;;
Patio+Lawn++Garden;Farming++Urban+Agriculture;;;;;;;
Patio+Lawn++Garden;Gardening++Lawn+Care;;;;;;;
Patio+Lawn++Garden;Outdoor+Cooking;;;;;;;
Patio+Lawn++Garden;Outdoor+Dcor;;;;;;;
Patio+Lawn++Garden;Outdoor+Generators++Portable+Power;;;;;;;
Patio+Lawn++Garden;Outdoor+Heating++Cooling;;;;;;;
Patio+Lawn++Garden;Outdoor+Power++Lawn+Equipment;;;;;;;
Patio+Lawn++Garden;Outdoor+Storage++Housing;;;;;;;
Patio+Lawn++Garden;Patio+Furniture++Accessories;;;;;;;
Patio+Lawn++Garden;Pest+Control+Products;;;;;;;
Patio+Lawn++Garden;Pools+Hot+Tubs++Supplies;;;;;;;
Patio+Lawn++Garden;Snow+Removal+Tools;;;;;;;
Pet+Supplies;Cat+Supplies;;;;;;;
Pet+Supplies;Dog+Supplies;;;;;;;
Pet+Supplies;Fish++Aquatic+Pets;;;;;;;
Pet+Supplies;Horse+Supplies;;;;;;;
Pet+Supplies;Pet+Bird+Supplies;;;;;;;
Pet+Supplies;Reptiles++Amphibian+Supplies;;;;;;;
Pet+Supplies;Small+Animal+Supplies;;;;;;;
Sports++Outdoors;Athletic+Clothing;;;;;;;
Sports++Outdoors;Outdoor+Recreation;;;;;;;
Sports++Outdoors;Sports++Fitness;;;;;;;
Sports++Outdoors;Sports+Fan+Shop;;;;;;;
Tools++Home+Improvement;Building+Supplies;;;;;;;
Tools++Home+Improvement;Electrical+Equipment;;;;;;;
Tools++Home+Improvement;Hardware;;;;;;;
Tools++Home+Improvement;Home+Appliances;;;;;;;
Tools++Home+Improvement;Kitchen++Bath+Fixtures;;;;;;;
Tools++Home+Improvement;Light+Bulbs;;;;;;;
Tools++Home+Improvement;Lighting++Ceiling+Fans;;;;;;;
Tools++Home+Improvement;Measuring++Layout;;;;;;;
Tools++Home+Improvement;Paint+Wall+Treatments++Supplies;;;;;;;
Tools++Home+Improvement;Power+Tools++Hand+Tools;;;;;;;
Tools++Home+Improvement;Pumps++Plumbing+Equipment;;;;;;;
Tools++Home+Improvement;Safety++Security;;;;;;;
Tools++Home+Improvement;Welding++Soldering;;;;;;;
Toys++Games;Arts++Crafts+Supplies;;;;;;;
Toys++Games;Baby++Toddler+Toys;;;;;;;
Toys++Games;Building+Toys;;;;;;;
Toys++Games;Collectible+Toys;;;;;;;
Toys++Games;Dolls++Accessories;;;;;;;
Toys++Games;Dress+Up++Pretend+Play;;;;;;;
Toys++Games;Games++Accessories;;;;;;;
Toys++Games;Hobbies;;;;;;;
Toys++Games;Kids+Electronics;;;;;;;
Toys++Games;Kids+Furniture++Dcor;;;;;;;
Toys++Games;Kids+Party+Supplies;;;;;;;
Toys++Games;Learning++Education+Toys;;;;;;;
Toys++Games;Play+Vehicles;;;;;;;
Toys++Games;Puppets++Puppet+Theaters;;;;;;;
Toys++Games;Puzzles;;;;;;;
Toys++Games;Sports++Outdoor+Play+Toys;;;;;;;
Toys++Games;Stuffed+Animals++Plush+Toys;;;;;;;
Toys++Games;Toy+Figures++Playsets;;;;;;;
Toys++Games;Toy+Vehicles;;;;;;;
Toys++Games;Toys++Games+Activities++Amusements;;;;;;;
Toys++Games;Tricycles+Scooters++Wagons;;;;;;;
Video+Games;Legacy+Systems;;;;;;;
Video+Games;Mac+Games++Accessories;;;;;;;
Video+Games;Microconsoles;;;;;;;
Video+Games;Nintendo+3DS++2DS+Consoles+Games++Accessories;;;;;;;
Video+Games;Nintendo+Switch+Consoles+Games++Accessories;;;;;;;
Video+Games;Online+Video+Game+Services;;;;;;;
Video+Games;PC+Games++Accessories;;;;;;;
Video+Games;PlayStation+4+Games+Consoles++Accessories;;;;;;;
Video+Games;PlayStation+5+Consoles+Games++Accessories;;;;;;;
Video+Games;PlayStation+Vita+Games+Consoles++Accessories;;;;;;;
Video+Games;Virtual+Reality+Hardware++Accessories;;;;;;;
Video+Games;Xbox+One+Games+Consoles++Accessories;;;;;;;
Video+Games;Xbox+Series+X++S+Consoles+Games++Accessories;;;;;;;
Electronics;TV++Video;;;;;;;
Electronics;Video+Games;;;;;;;
Home++Kitchen;Home+Dcor;;;;;;;
Home++Kitchen;Storage++Organization;;;;;;;
Clothing+Shoes++Jewelry;Women;;;;;;;
Clothing+Shoes++Jewelry;Men;;;;;;;
Clothing+Shoes++Jewelry;Girls;;;;;;;
Clothing+Shoes++Jewelry;Boys;;;;;;;
Clothing+Shoes++Jewelry;Baby;;;;;;;
Beauty++Personal+Care;Skin+Care;;;;;;;
Beauty++Personal+Care;Hair+Care;;;;;;;
Beauty++Personal+Care;Fragrance;;;;;;;
Beauty++Personal+Care;Oral+Care;;;;;;;
Beauty++Personal+Care;Mens+Grooming;;;;;;;
Books;Mystery++Thriller;;;;;;;
Books;Biographies++Memoirs;;;;;;;
Sports++Outdoors;Exercise++Fitness;;;;;;;
Sports++Outdoors;Team+Sports;;;;;;;
Sports++Outdoors;Hunting++Fishing;;;;;;;
Sports++Outdoors;Fan+Shop;;;;;;;
Health+Household++Baby+Care;Health+Care;;;;;;;
Health+Household++Baby+Care;Household+Supplies;;;;;;;
Health+Household++Baby+Care;Baby++Child+Care;;;;;;;
Health+Household++Baby+Care;Medical+Supplies++Equipment;;;;;;;
Health+Household++Baby+Care;Diet++Nutrition;;;;;;;
Toys++Games;Action+Figures;;;;;;;
Toys++Games;Learning++Education;;;;;;;
Automotive;Replacement+Parts;;;;;;;
Automotive;Tools++Equipment;;;;;;;
Automotive;Tires++Wheels;;;;;;;
Industrial++Scientific;Industrial+Supplies;;;;;;;
Pet+Supplies;Dogs;;;;;;;
Pet+Supplies;Cats;;;;;;;
Pet+Supplies;Birds;;;;;;;
Pet+Supplies;Small+Animals;;;;;;;
Grocery++Gourmet+Food;Dairy++Eggs;;;;;;;
Arts+Crafts++Sewing;Fabric;;;;;;;
Arts+Crafts++Sewing;Sewing;;;;;;;
Arts+Crafts++Sewing;Craft+Supplies;;;;;;;
Arts+Crafts++Sewing;Knitting++Crochet;;;;;;;
Musical+Instruments;Keyboards++MIDI;;;;;;;
Musical+Instruments;Recording+Equipment;;;;;;;
Musical+Instruments;DJ+Equipment;;;;;;;
Musical+Instruments;Band++Orchestra;;;;;;;
Office+Products;Office+Supplies;;;;;;;
Office+Products;Office+Electronics;;;;;;;
Office+Products;Paper;;;;;;;
Office+Products;School+Supplies;;;;;;;
Office+Products;Breakroom+Supplies;;;;;;;
Garden++Outdoor;Patio+Furniture++Accessories;;;;;;;
Garden++Outdoor;Gardening;;;;;;;
Garden++Outdoor;Grills++Outdoor+Cooking;;;;;;;
Garden++Outdoor;Outdoor+Dcor;;;;;;;
Garden++Outdoor;Plants+Seeds++Bulbs;;;;;;;
Tools++Home+Improvement;Power++Hand+Tools;;;;;;;
Tools++Home+Improvement;Smart+Home;;;;;;;
Cell+Phones++Accessories;Smartphones;;;;;;;
Cell+Phones++Accessories;Cases;;;;;;;
Cell+Phones++Accessories;Screen+Protectors;;;;;;;
Cell+Phones++Accessories;Chargers++Power+Adapters;;;;;;;
Cell+Phones++Accessories;Headphones;;;;;;;
Movies++TV;DVDs;;;;;;;
Movies++TV;Bluray;;;;;;;
Movies++TV;Prime+Video;;;;;;;
Movies++TV;Digital+Downloads;;;;;;;
Movies++TV;4K+Ultra+HD;;;;;;;
Handmade;Jewelry;;;;;;;
Handmade;Home+Dcor;;;;;;;
